('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         757107 function calls (736878 primitive calls) in 1.933 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1759    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  212/174    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      455    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      194    0.000    0.000    0.023    0.000 sre_compile.py:622(_code)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      813    0.000    0.000    0.000    0.000 element.py:1543(get)
      454    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
     3047    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      690    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2721    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      313    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      313    0.000    0.000    0.000    0.000 _connection.py:352(receive_data)
       74    0.000    0.000    0.003    0.000 typing.py:483(Union)
      318    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      602    0.000    0.000    0.000    0.000 enum.py:678(__new__)
     1806    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      122    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      734    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      120    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      832    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      277    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
      425    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
       57    0.000    0.000    0.000    0.000 dataclasses.py:722(_get_field)
      194    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1835    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      114    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      184    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      194    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      235    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       69    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
    80/50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      734    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      763    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      277    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      313    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
      135    0.000    0.000    0.000    0.000 dataclasses.py:663(_is_type)
      239    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
