('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737403 function calls (717066 primitive calls) in 1.807 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      496    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      419    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       51    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       20    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      175    0.000    0.000    0.004    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.024    0.024 sessions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:1(<module>)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
      497    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       31    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
    31/17    0.000    0.000    0.122    0.007 {built-in method builtins.__import__}
      626    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
        4    0.000    0.000    0.000    0.000 threading.py:236(__init__)
    42/30    0.000    0.000    0.007    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fa03b1781f0}
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       42    0.000    0.000    0.316    0.008 models.py:816(generate)
        1    0.000    0.000    0.023    0.023 adapters.py:1(<module>)
        2    0.000    0.000    0.001    0.001 models.py:1(<module>)
      269    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      331    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       93    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       70    0.000    0.000    0.000    0.000 typing.py:947(__init__)
        1    0.000    0.000    0.105    0.105 connection.py:846(_ssl_wrap_socket_and_match_hostname)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       44    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      490    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       54    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.043    0.043 css_parser.py:1(<module>)
        1    0.000    0.000    0.254    0.254 connection.py:669(connect)
        3    0.000    0.000    0.011    0.004 response.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        2    0.000    0.000    0.031    0.015 exceptions.py:1(<module>)
        1    0.000    0.000    0.015    0.015 connectionpool.py:1(<module>)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:375(_freeze_relations)
    38/29    0.000    0.000    0.006    0.000 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.104    0.104 ssl.py:1014(_create)
       10    0.000    0.000    0.003    0.000 enum.py:536(_convert_)
        1    0.000    0.000    1.481    1.481 sessions.py:673(send)
        1    0.000    0.000    0.020    0.020 dammit.py:67(EntitySubstitution)
      403    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 tempfile.py:816(SpooledTemporaryFile)
       48    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
       11    0.000    0.000    0.000    0.000 parse.py:444(urlsplit)
       19    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       53    0.000    0.000    0.000    0.000 typing.py:664(__init__)
      238    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      292    0.000    0.000    0.000    0.000 enum.py:801(value)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      389    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.015    0.015 ssl_.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _request_methods.py:1(<module>)
      168    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
       36    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
        1    0.000    0.000    0.908    0.908 connection.py:485(getresponse)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.150    0.150 connection.py:27(create_connection)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1488(__init__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       56    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      188    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       52    0.000    0.000    0.002    0.000 css_parser.py:1092(<listcomp>)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1596(_BaseV6)
        6    0.000    0.000    0.001    0.000 typing.py:2267(__new__)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
