('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737441 function calls (717118 primitive calls) in 6.817 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       43    0.000    0.000    0.291    0.007 response.py:1173(read_chunked)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      188    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1695    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       73    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      292    0.000    0.000    0.000    0.000 types.py:176(__get__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      191    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      221    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
  141/135    0.000    0.000    0.002    0.000 typing.py:306(inner)
  159/158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      380    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       51    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       99    0.000    0.000    0.001    0.000 enum.py:980(__or__)
    237/4    0.000    0.000    0.175    0.044 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       51    0.000    0.000    0.916    0.018 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.007    0.002 utils.py:1(<module>)
      303    0.000    0.000    0.080    0.000 re.py:249(compile)
    67/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.100    0.100 ssl.py:1014(_create)
      323    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1036    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       42    0.000    0.000    0.285    0.007 response.py:1151(_handle_chunk)
     1036    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
    71/37    0.000    0.000    0.104    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       47    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.025    0.025 sessions.py:1(<module>)
       31    0.000    0.000    0.001    0.000 typing.py:483(Union)
      193    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      521    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       64    0.000    0.000    0.285    0.004 client.py:624(_safe_read)
       31    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
      419    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
      175    0.000    0.000    0.004    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    1.488    1.488 sessions.py:673(send)
      332    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      228    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      496    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
        1    0.000    0.000    0.126    0.126 __init__.py:122(__init__)
      323    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       13    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
       43    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
    42/30    0.000    0.000    0.007    0.000 css_parser.py:569(parse_pseudo_class)
    31/17    0.000    0.000    0.123    0.007 {built-in method builtins.__import__}
        4    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       51    0.000    0.000    0.000    0.000 parser.py:122(set_cdata_mode)
        1    0.000    0.000    0.278    0.278 connection.py:669(connect)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
      324    0.000    0.000    0.000    0.000 socket.py:730(readable)
       42    0.000    0.000    0.005    0.000 response.py:469(_decode)
